"date","city","metric","value","source","created_at"
"2006-06-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-06-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-07-01","Canada","mortgage_rate","6.95","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-07-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-07-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-08-01","Canada","mortgage_rate","6.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-08-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-08-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-09-01","Canada","mortgage_rate","6.7","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-09-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-09-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-10-01","Canada","mortgage_rate","6.8","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-10-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-10-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-11-01","Canada","mortgage_rate","6.55","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-11-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-11-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-12-01","Canada","mortgage_rate","6.45","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-12-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-12-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-01-01","Canada","mortgage_rate","6.65","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-01-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-01-01","Canada","unemployment_rate","6.4","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-02-01","Canada","mortgage_rate","6.65","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-02-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-02-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-03-01","Canada","mortgage_rate","6.49","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-03-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-03-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-04-01","Canada","mortgage_rate","6.64","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-04-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-04-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-05-01","Canada","mortgage_rate","7.14","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-05-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-05-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-06-01","Canada","mortgage_rate","7.24","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-06-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-06-01","Canada","unemployment_rate","6.1","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-07-01","Canada","mortgage_rate","7.24","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-07-01","Canada","overnight_rate","4.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-07-01","Canada","unemployment_rate","6.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-08-01","Canada","mortgage_rate","7.24","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-08-01","Canada","overnight_rate","4.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-08-01","Canada","unemployment_rate","6.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-09-01","Canada","mortgage_rate","7.19","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-09-01","Canada","overnight_rate","4.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-09-01","Canada","unemployment_rate","6.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-10-01","Canada","mortgage_rate","7.44","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-10-01","Canada","overnight_rate","4.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-10-01","Canada","unemployment_rate","6.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-11-01","Canada","mortgage_rate","7.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-11-01","Canada","overnight_rate","4.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-11-01","Canada","unemployment_rate","6.1","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-12-01","Canada","mortgage_rate","7.54","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2007-12-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2007-12-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-01-01","Canada","mortgage_rate","7.39","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-01-01","Canada","overnight_rate","4.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-01-01","Canada","unemployment_rate","6.1","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-02-01","Canada","mortgage_rate","7.29","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-02-01","Canada","overnight_rate","4.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-02-01","Canada","unemployment_rate","6.1","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-03-01","Canada","mortgage_rate","7.19","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-03-01","Canada","overnight_rate","3.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-03-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-04-01","Canada","mortgage_rate","6.99","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-04-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-04-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-05-01","Canada","mortgage_rate","6.65","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-05-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-05-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-06-01","Canada","mortgage_rate","7.15","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-06-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-06-01","Canada","unemployment_rate","6.1","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-07-01","Canada","mortgage_rate","7.15","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-07-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-07-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-08-01","Canada","mortgage_rate","6.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-08-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-08-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2008-09-01","Canada","mortgage_rate","6.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2008-09-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2008-09-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
